sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
agriculture,foodgrains,Foodgrain production — Cereals,1995-03-01,All India,818.1,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1996-03-01,All India,769.8,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1997-03-01,All India,817.3,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1998-03-01,All India,825.4,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,1999-03-01,All India,860.8,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2000-03-01,All India,896.8,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2001-03-01,All India,849.8,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2002-03-01,All India,933.4,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2003-03-01,All India,718.2,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2004-03-01,All India,885.3,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2005-03-01,All India,831.3,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2006-03-01,All India,917.9,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2007-03-01,All India,933.6,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2008-03-01,All India,966.9,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2009-03-01,All India,991.8,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2010-03-01,All India,890.9,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2011-03-01,All India,959.8,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2012-03-01,All India,1053.0,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain production — Cereals,2013-03-01,All India,1052.4,lakh tonnes,yearly,Agricultural Production - Foodgrains.xlsx,
