sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
national_income,constant prices (2022-23),2. GFCE,2025-06-01,All India,862344.712448542,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),2. GFCE,2025-09-01,All India,827652.703265659,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),2. GFCE,2025-12-01,All India,808707.683777963,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),2. GFCE,2026-03-01,All India,766176.609540436,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2022-06-01,All India,2006738.27934646,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2022-09-01,All India,2082406.61511433,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2022-12-01,All India,2131191.5997918,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2023-03-01,All India,2233169.41780192,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2023-06-01,All India,2167214.88673946,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2023-09-01,All India,2266332.8998021,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2023-12-01,All India,2263287.29760914,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2024-03-01,All India,2369797.8689461,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2024-06-01,All India,2308812.69113423,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2024-09-01,All India,2414907.6543353,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2024-12-01,All India,2406170.66923944,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2025-03-01,All India,2517900.84985859,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2025-06-01,All India,2421122.56983806,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2025-09-01,All India,2618767.73887498,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2025-12-01,All India,2604635.21861548,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),3. GFCF,2026-03-01,All India,2790273.17838221,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),4. Change in Stock,2022-06-01,All India,38840.7107169644,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),4. Change in Stock,2022-09-01,All India,29980.6995464992,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),4. Change in Stock,2022-12-01,All India,42149.5673005829,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),4. Change in Stock,2023-03-01,All India,62399.4144401691,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
national_income,constant prices (2022-23),4. Change in Stock,2023-06-01,All India,82919.1662464195,INR crore,quarterly,Quarterly Estimates of Gross Domestic Product (At Constant Prices) New Series (Base _ 2022-23).xlsx,
